input_size,single_enforcer_mean_time,single_enforcer_output_length,monolithic_mean_time,monolithic_output_length,serial_mean_time,serial_output_length
10,0.0,10,0.0,6,0.0,6
1000,0.0009999275207519531,1000,0.0049991607666015625,512,0.0029997825622558594,512
2000,0.0009992122650146484,2000,0.010999917984008789,1002,0.0069997310638427734,1002
3000,0.002999544143676758,3000,0.012961626052856445,1478,0.008000612258911133,1478
4000,0.003000497817993164,4000,0.018982648849487305,2046,0.0110015869140625,2046
5000,0.004008293151855469,5000,0.025005102157592773,2524,0.016997098922729492,2524
6000,0.004995822906494141,6000,0.03000044822692871,3050,0.01703166961669922,3049
7000,0.006008148193359375,7000,0.032962799072265625,3515,0.021001577377319336,3515
8000,0.006554603576660156,8000,0.035999298095703125,3985,0.02101278305053711,3986
9000,0.008003473281860352,9000,0.039003610610961914,4472,0.024022817611694336,4472
10000,0.007998466491699219,10000,0.05100250244140625,4963,0.03199911117553711,4963
